system:index,BuiltUp,Curvature,DistRiver,Elevation,Flood,FlowAccum,HAND,LandCover,NDVI,NDWI,Slope,random,.geo
3744,0.0,0.0,2997.8992,3.0,1,0.13891695,0.7850968,90.0,0.4297376,-0.3816679,0.0,0.6503583390325041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.70064559741397,9.12950836437487]}"
3746,0.0,0.0,957.18335,3.0,1,0.012958669,0.14869058,90.0,0.5825179,-0.5056633,0.0,0.6783640531481548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.73707310925283,9.18587270804574]}"
3747,0.0,0.9477577,3510.0,3.886507,1,0.008441999,0.36445394,40.0,0.5270753,-0.4563292,0.13583387,0.2441346618976986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7844352255739,9.117398756557526]}"
3748,99.44875,-0.08434582,662.7217,10.836374,1,0.030317366,0.6157897,30.0,0.5704875,-0.55451226,0.40689093,0.615691436098457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.84419566991764,8.870088277311455]}"
3751,0.0,0.0,4159.0864,3.0,1,0.052293204,0.0,90.0,-0.06612411,0.08016032,0.0,0.18229315558596337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.6779532992327,9.112728783701273]}"
3752,0.0,-0.36753845,3674.847,15.632526,1,0.016947413,0.3961435,30.0,0.577656,-0.57395834,0.4111445,0.34733105990870505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.97026971290784,8.779161927122809]}"
3753,0.0,0.0,1299.7307,3.0,1,0.008491273,0.28009975,90.0,0.5474763,-0.4371408,0.0,0.47454484956697573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.74416753658322,9.183416207588754]}"
3754,0.0,1.0308509,870.0,2.7890167,1,0.043146808,0.9487411,30.0,0.6984479,-0.6209734,1.4053478,0.6947802596607126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.87698178956312,9.228157223000162]}"
3755,0.0,0.0,174.92856,3.0,1,0.016506951,1.8192608,30.0,0.56648165,-0.5224149,0.0,0.6722128825237728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68377437795166,9.158844374519077]}"
3756,0.0,0.0,1350.0,3.0,1,0.044541914,1.0310853,30.0,0.31412375,-0.39635268,0.0,0.34950408949787404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.65652554090028,9.189012764757187]}"
3757,0.0,1.4587078,1842.0098,17.316536,1,0.08044999,0.46332765,30.0,0.42120343,-0.51836735,0.2731452,0.14568913408375694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.01557946025723,8.691407751995442]}"
3759,0.0,0.59254265,241.86774,20.130846,1,0.026504423,1.0463115,30.0,0.76360446,-0.6610637,0.1645653,0.07044899522227921,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.93904724009451,8.617532971213933]}"
3760,0.0,0.11235547,1159.1808,1.0,1,3.2992067,0.13582116,90.0,-0.0020256583,0.14763552,0.0,0.39537882601728314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.94182835854902,9.37748680111682]}"
3761,0.19069919,-2.0134344,0.0,12.0,1,5788.587,0.25196078,80.0,0.35177866,-0.2609586,15.2220745,0.6319227325784045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.9060883064849,8.74323546689708]}"
3762,0.0,0.69053745,301.49628,10.940774,1,0.020488271,0.5099701,30.0,0.7032624,-0.61267793,0.19611238,0.32880876456038644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.88007810183667,8.930239287248108]}"
3763,0.0,0.0,0.0,3.0,1,708.74133,1.0165063,90.0,0.3956113,-0.30941176,0.0,0.18588701466215451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.67483530739713,9.196576300377075]}"
3764,0.0,0.0,829.759,3.0,1,0.012415666,1.1123598,30.0,0.5838588,-0.46957877,0.0,0.6351474324953817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68544437103515,9.175392450704198]}"
3765,0.0,0.33042908,570.78894,9.816528,1,0.66551995,0.054479074,30.0,0.54571354,-0.5409244,0.49047542,0.6825889093550961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86509593716534,8.940856147225427]}"
3766,0.0,-0.30863833,150.0,3.9039245,1,0.021148816,1.0720229,90.0,0.6365092,-0.57473034,0.5938011,0.6900454351187841,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75530260624419,9.154903693422474]}"
3767,0.18670888,1.3338823,3618.5771,15.744021,1,0.04966625,4.0064845,30.0,0.15915915,0.07949126,1.8418323,0.2886689790197654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.88490858687634,9.120966717948855]}"
3768,0.0,0.18866086,4212.8374,3.7226372,1,0.029311731,0.27066636,30.0,0.59815747,-0.6232594,0.5011269,0.6714976606399877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.76168406576147,9.07403456316022]}"
3770,0.0,2.1939335,764.8529,21.618435,1,0.02419124,2.9908059,30.0,0.6526419,-0.5888993,1.6825739,0.16191938148011364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.9596886934556,8.58655127456578]}"
3771,0.0,-0.41127968,551.5433,20.197142,1,3.099385,0.100263014,30.0,0.43672627,-0.48208585,0.26195198,0.654833461365329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.01564776054525,8.615167565904283]}"
3773,0.0,0.06506348,1385.2075,5.8349304,1,0.015150845,0.8493937,30.0,0.58438927,-0.5847909,0.15802258,0.5649595706068584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.85819803993184,9.139209287375456]}"
